               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.038612,            0.050072,             0.11009,            0.030785,             0.12679,            0.023865,            0.017674,            0.019898,            0.024764,             0.10655,           0.0033299,           0.0033299,            0.070031
                   1,            0.025548,            0.035848,             0.10344,             0.89019,             0.10754,            0.089371,            0.068753,            0.013499,             0.02222,             0.09784,           0.0066303,           0.0066303,            0.039998
                   2,             0.02413,            0.035494,            0.090661,             0.60097,             0.39984,             0.41865,             0.33543,             0.01481,            0.023037,            0.072792,           0.0098976,           0.0098976,           0.0099317
                   3,            0.025535,            0.035722,            0.047948,             0.90172,             0.93246,             0.94414,             0.80733,            0.015124,            0.022888,            0.023372,           0.0098515,           0.0098515,           0.0098515
                   4,            0.022527,            0.034488,              0.0209,             0.93939,             0.92698,              0.9556,             0.87931,            0.011903,            0.020849,            0.017642,           0.0098515,           0.0098515,           0.0098515
                   5,            0.019802,            0.032829,            0.015403,             0.98955,             0.97477,             0.98433,             0.91841,            0.011108,            0.020361,            0.010297,            0.009802,            0.009802,            0.009802
                   6,            0.018728,            0.031764,            0.012925,             0.98405,             0.97281,             0.98132,             0.91911,            0.010547,            0.019924,           0.0096566,           0.0097525,           0.0097525,           0.0097525
                   7,            0.017893,            0.031225,            0.011444,             0.99171,             0.97946,             0.98519,             0.93195,           0.0096672,            0.018882,           0.0081344,            0.009703,            0.009703,            0.009703
                   8,            0.017295,            0.030515,            0.010342,             0.96962,              0.9616,             0.97672,             0.92604,           0.0089404,            0.018709,            0.010278,           0.0096535,           0.0096535,           0.0096535
                   9,            0.016786,            0.030115,           0.0095307,             0.99371,             0.98473,              0.9868,             0.93964,              0.0088,            0.018148,            0.006663,            0.009604,            0.009604,            0.009604
                  10,            0.016341,            0.029435,           0.0089247,             0.99442,             0.98319,             0.98656,             0.94188,           0.0084611,            0.017866,            0.006466,           0.0095545,           0.0095545,           0.0095545
                  11,            0.016015,            0.029277,           0.0084398,             0.99354,             0.98575,             0.98705,             0.94037,           0.0083758,            0.017884,           0.0060669,            0.009505,            0.009505,            0.009505
                  12,            0.015719,            0.028982,           0.0081746,             0.99483,             0.98372,             0.98663,             0.94557,           0.0078799,            0.017429,             0.00594,           0.0094555,           0.0094555,           0.0094555
                  13,            0.015463,            0.028752,           0.0077018,              0.9956,             0.98644,              0.9869,             0.94766,           0.0076335,            0.017114,           0.0054941,            0.009406,            0.009406,            0.009406
                  14,            0.015219,            0.028566,           0.0074145,             0.99667,             0.98579,             0.98687,             0.94979,           0.0074027,            0.017083,           0.0053692,           0.0093565,           0.0093565,           0.0093565
                  15,            0.015061,            0.028287,           0.0072395,             0.99576,              0.9861,             0.98705,             0.95159,           0.0072415,            0.016728,           0.0051666,            0.009307,            0.009307,            0.009307
                  16,            0.014867,            0.028167,           0.0070529,             0.99536,             0.98681,             0.98766,             0.95138,           0.0072364,            0.016744,           0.0050884,           0.0092575,           0.0092575,           0.0092575
                  17,            0.014513,            0.028037,           0.0067702,             0.99729,             0.98649,              0.9874,             0.95119,           0.0070551,             0.01649,           0.0048209,            0.009208,            0.009208,            0.009208
                  18,            0.014473,            0.027812,           0.0066656,             0.99641,             0.98657,             0.98734,             0.95248,           0.0069669,            0.016574,           0.0047844,           0.0091585,           0.0091585,           0.0091585
                  19,            0.014288,             0.02729,           0.0063671,             0.99692,             0.98758,             0.98708,             0.95177,           0.0068783,            0.016352,           0.0046374,            0.009109,            0.009109,            0.009109
                  20,            0.014154,            0.027203,           0.0061687,             0.99681,              0.9873,             0.98721,             0.95342,           0.0067419,            0.016182,           0.0046005,           0.0090595,           0.0090595,           0.0090595
                  21,            0.013997,            0.027096,           0.0060827,             0.99686,             0.98691,              0.9873,             0.95479,           0.0065807,            0.016073,           0.0043925,             0.00901,             0.00901,             0.00901
                  22,             0.01392,            0.026776,           0.0059883,             0.99726,             0.98688,             0.98745,             0.95556,           0.0065793,            0.016022,           0.0043802,           0.0089605,           0.0089605,           0.0089605
                  23,            0.013824,            0.026798,           0.0058031,             0.99734,             0.98749,             0.98745,             0.95531,            0.006485,            0.015962,           0.0042949,            0.008911,            0.008911,            0.008911
                  24,            0.013748,              0.0266,            0.005748,             0.99699,             0.98782,             0.98765,             0.95712,           0.0064411,            0.015794,           0.0042522,           0.0088615,           0.0088615,           0.0088615
                  25,            0.013561,            0.026413,           0.0056513,             0.99756,             0.98735,             0.98752,             0.95676,           0.0063155,            0.015726,           0.0041607,            0.008812,            0.008812,            0.008812
                  26,            0.013525,            0.026287,            0.005497,             0.99748,             0.98732,             0.98748,             0.95681,             0.00635,            0.015742,           0.0041972,           0.0087625,           0.0087625,           0.0087625
                  27,            0.013399,            0.026397,           0.0054551,             0.99706,             0.98746,              0.9873,             0.95673,           0.0062678,            0.015602,           0.0041012,            0.008713,            0.008713,            0.008713
                  28,            0.013451,            0.026431,           0.0053795,             0.99751,             0.98764,              0.9875,             0.95788,           0.0061795,            0.015384,            0.004103,           0.0086635,           0.0086635,           0.0086635
                  29,            0.013291,             0.02621,           0.0053432,             0.99743,              0.9874,             0.98755,             0.95746,           0.0062033,            0.015387,           0.0040229,            0.008614,            0.008614,            0.008614
                  30,            0.013132,            0.026101,           0.0052054,             0.99758,             0.98716,             0.98753,             0.95796,            0.006143,            0.015396,           0.0039249,           0.0085645,           0.0085645,           0.0085645
                  31,            0.013071,            0.025841,           0.0051461,              0.9967,             0.98763,             0.98743,             0.95856,           0.0060383,            0.015353,           0.0038904,            0.008515,            0.008515,            0.008515
                  32,             0.01304,            0.025798,           0.0050598,             0.99676,              0.9879,             0.98783,             0.95882,           0.0059872,            0.015273,           0.0038303,           0.0084655,           0.0084655,           0.0084655
                  33,            0.012854,            0.025649,           0.0049972,             0.99705,             0.98763,             0.98765,             0.96034,           0.0059181,            0.015103,           0.0038035,            0.008416,            0.008416,            0.008416
                  34,            0.012854,            0.025462,           0.0049098,             0.99728,             0.98795,              0.9881,               0.961,           0.0059034,             0.01499,           0.0038074,           0.0083665,           0.0083665,           0.0083665
                  35,            0.012657,            0.025362,           0.0048677,             0.99757,             0.98767,             0.98784,              0.9617,           0.0058323,            0.014906,           0.0036924,            0.008317,            0.008317,            0.008317
                  36,            0.012717,             0.02519,            0.004803,             0.99738,             0.98762,             0.98762,             0.96219,           0.0057705,            0.014823,           0.0036937,           0.0082675,           0.0082675,           0.0082675
                  37,            0.012646,            0.025336,           0.0047712,             0.99781,             0.98738,              0.9878,             0.96178,           0.0057551,            0.014745,           0.0037097,            0.008218,            0.008218,            0.008218
                  38,            0.012527,             0.02525,           0.0047684,             0.99742,             0.98807,             0.98791,             0.96261,           0.0056667,            0.014608,           0.0036238,           0.0081685,           0.0081685,           0.0081685
                  39,            0.012425,            0.024899,           0.0046646,             0.99762,             0.98856,             0.98791,             0.96348,           0.0056174,            0.014584,            0.003572,            0.008119,            0.008119,            0.008119
                  40,            0.012432,             0.02501,           0.0046812,               0.997,              0.9888,             0.98778,             0.96389,           0.0055808,            0.014612,           0.0035805,           0.0080695,           0.0080695,           0.0080695
                  41,            0.012319,            0.024998,           0.0045585,             0.99746,             0.98797,             0.98751,              0.9638,           0.0055436,            0.014588,           0.0035729,             0.00802,             0.00802,             0.00802
